ID,Job URL,Job Title,Category,Company,Location,Salary Any,Salary B2B,Salary Internship,Salary Mandate,Salary Permanent,Work Type,Experience,Employment Type,Operating Mode,Tech Stack
61,https://justjoin.it/job-offer/respect-energy-data-qa-engineer-warszawa-data,Data QA Engineer,Data,Respect Energy,Warszawa,N/A,18 000 - 22 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Polish: N/A; English: N/A; SQL: Master; QA: Master; ETL: Advanced; ELT: Advanced; Git: Advanced; CI/CD: Advanced
62,https://justjoin.it/job-offer/billennium-data-engineer-warszawa-data-c79f3999,Data Engineer,Data,Billennium,Warszawa,100 - 140 PLN/h,N/A,N/A,N/A,N/A,Full-time,Mid,Any,Remote,SQL: Regular; Snowflake: Regular; AWS: Regular; DBT: Regular
63,https://justjoin.it/job-offer/makeitright-junior-mid-etl-apex-developer-warszawa-data,Junior/Mid ETL / APEX Developer,Data,makeitright,Warszawa,N/A,16 000 - 18 480 PLN/month,N/A,N/A,N/A,Full-time,Junior,B2B,Hybrid,SQL: Regular; Oracle APEX: Regular
64,https://justjoin.it/job-offer/b2bnetwork-technical-data-architect-warszawa-data-65ed92e4,Technical Data Architect,Data,B2Bnetwork,Warszawa,N/A,21 000 - 23 500 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,English: N/A; Snowflake: Advanced; Data Vault: Advanced; Data Mesh: Advanced
65,https://justjoin.it/job-offer/displate-senior-data-expert-warszawa-data,Senior Data Expert,Data,Displate,Warszawa,18 000 - 25 000 PLN/month,18 000 - 25 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,"Any, B2B",Hybrid,English: N/A; Data analysis: Master; Google Marketing Platform suite: Advanced; E-commerce: Advanced; SQL: Advanced; Python: Advanced; Geo-Lift: Regular
66,https://justjoin.it/job-offer/simora-administrator-baz-danych-oracle-oracle-dba-katowice-data,Administrator Baz Danych Oracle / Oracle DBA,Data,Simora,Katowice,N/A,7 000 - 13 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Bash: Regular; Databases: Regular; PL/SQL: Regular; Oracle DB: Regular; SQL: Regular; Oracle: Regular; Linux OS: Regular; Virtualization: Nice To Have; Python: Nice To Have
67,https://justjoin.it/job-offer/redstone-oracles-qa-engineer-data-analyst-warszawa-data,Quant / Data Engineer,Data,RedStone Oracles,Warszawa,N/A,10 000 - 25 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Statistics: Regular; TypeScript: Regular; ETL: Regular; Node.js: Regular; Blockchain: Regular; Grafana: Regular; Amazon AWS: Regular; Data modeling: Regular; SQL: Regular; InfluxDB: Regular
68,https://justjoin.it/job-offer/itlt-etl-developer-ssis--warszawa-data,ETL Developer (SSIS),Data,ITLT,Warszawa,N/A,140 - 180 PLN/day,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,English: N/A; Polish: N/A; SQL: Master; SSIS: Advanced; DevOps: Junior; SAS: Nice To Have
69,https://justjoin.it/job-offer/bayer-sp-z-o-o--data-analyst-warszawa-data,Data Analyst,Data,Bayer Sp. z o.o.,Warszawa,N/A,N/A,N/A,N/A,14 000 - 20 000 PLN/month,Full-time,Mid,Permanent,Hybrid,PostgreSQL: Master; MySQL: Master; Databricks: Advanced; Snowflake: Advanced
70,https://justjoin.it/job-offer/bayer-sp-z-o-o--product-specialist---tester-warszawa-data,Product Specialist - Tester,Data,Bayer Sp. z o.o.,Warszawa,N/A,N/A,N/A,N/A,14 000 - 20 000 PLN/month,Full-time,Mid,Permanent,Hybrid,Manual Testing: Master
71,https://justjoin.it/job-offer/ocado-technology-data-analyst-intern-krakow-data,Data Analyst Intern,Data,Ocado Technology,Kraków,N/A,N/A,45 PLN/h,N/A,N/A,Practice/Internship,Junior,Internship,Hybrid,Polish: N/A; English: N/A; MS Excel: Junior; SQL: Junior
72,https://justjoin.it/job-offer/experis-manpower-group-data-analyst-wroclaw-data,Data Analyst,Data,Experis Manpower Group,Wrocław,N/A,123 - 131 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,English: N/A; SQL: Advanced; Python: Advanced; ETL: Regular; Azure: Regular
73,https://justjoin.it/job-offer/rits-professional-services-programista-hurtowni-danych-warszawa-data,Programista Hurtowni Danych,Data,RITS Professional Services,Warszawa,N/A,19 200 - 22 400 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Polish: N/A; T-SQL: Advanced; MS SQL: Advanced; SQL: Advanced; SSIS: Advanced; Powershell: Regular
74,https://justjoin.it/job-offer/loopme-mid-data-engineer-krakow-data-9cad4c77,Mid Data Engineer,Data,Loopme,Kraków,N/A,17 000 - 19 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Postgres: Advanced; Data models: Advanced; segmentation techniques: Advanced; BigQuery: Advanced; SQL / NoSQL databases: Advanced; Elasticsearch: Advanced; data mining: Advanced; ClickHouse: Advanced
75,https://justjoin.it/job-offer/kambu-data-engineer-data-platform-developer-with-net-krakow-data-9467a6b0,Data Engineer / Data Platform Developer with .NET,Data,Kambu,Kraków,N/A,13 000 - 18 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,CI/CD pipelines: Regular; ELT: Regular; Azure Data Factory: Regular; .Net: Regular; Microsoft Azure Cloud: Regular; Azure Logic App: Regular
76,https://justjoin.it/job-offer/dcg-big-data-developer-warszawa-data,Big Data Developer,Data,DCG,Warszawa,N/A,150 - 170 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Docker: Advanced; Kubernetes: Advanced; Scala: Advanced; Apache Kafka: Regular; Hive: Regular
77,https://justjoin.it/job-offer/connectis-data-test-engineer-warszawa-data-b0145ff0,Data Test Engineer,Data,Connectis,Warszawa,N/A,90 - 140 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Polish: N/A; English: N/A; Jenkins: Regular; CI/CD: Regular; ETL: Regular; PySpark: Regular; Azure Data Factory: Regular; azure data brics: Regular; Agile: Regular; Azure DevOps: Regular; Python: Regular; Azure Storage Account: Regular
78,https://justjoin.it/job-offer/emagine-polska-cloud-migration-engineer-warszawa-data,Cloud Migration Engineer,Data,emagine Polska,Warszawa,N/A,190 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Polish: N/A; GCP: Advanced; Docker: Advanced; Kubernetes: Advanced; Helm: Advanced; Oracle: Regular; PostgreSQL: Regular; Python: Regular; C: Regular; Linux: Regular; Unix: Regular
79,https://justjoin.it/job-offer/ameripol-spolka-z-ograniczona-odpowiedzialnoscia-bi-reporting-specialist-gdansk-data,BI Reporting Specialist,Data,AMERIPOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Gdańsk,N/A,9 000 - 14 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,English: N/A; Microsoft SQL Server: Advanced; T-SQL: Advanced; SSRS: Advanced; MS SQL Server Management Studio: Regular; MS Visual Studio: Regular; SSIS: Nice To Have; XML: Nice To Have; EDI and API integrations: Nice To Have
80,https://justjoin.it/job-offer/fabrity-s-a--microsoft-database-administrator-warszawa-data,Microsoft Database Administrator,Data,Fabrity S.A.,Warszawa,N/A,17 000 - 21 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,English: N/A; Power BI: Master; Databases: Master; SQL: Advanced; ITIL: Regular; ETL: Regular; PostgreSQL: Regular
81,https://justjoin.it/job-offer/link-group-insurance-data-analyst-warszawa-data,Insurance Data Analyst,Data,Link Group,Warszawa,N/A,95 - 125 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Scrum: Regular; Kanban: Regular; Agile: Regular; SQL: Regular; AWS: Nice To Have; Angular: Nice To Have; Microsoft Azure Cloud: Nice To Have; React: Nice To Have; Java: Nice To Have; Spring: Nice To Have
82,https://justjoin.it/job-offer/link-group-qlik-view-developer-warszawa-data,Qlik View Developer,Data,Link Group,Warszawa,N/A,13 000 - 16 500 PLN/month,N/A,N/A,12 000 - 15 000 PLN/month,Full-time,Mid,"B2B, Permanent",Remote,Analytical Thinking: Advanced; PostgreSQL: Regular; BI: Regular; Qlik Sense: Regular
83,https://justjoin.it/job-offer/emagine-polska-data-analyst---market-risk-krakow-data,Data Analyst - Market Risk,Data,emagine Polska,Kraków,N/A,140 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Data analysis: Regular; SQL: Regular; Python: Regular; P&L: Regular
84,https://justjoin.it/job-offer/dcg-data-scientist-talk-to-data--warszawa-data,Data Scientist (Talk to Data),Data,DCG,Warszawa,N/A,100 - 140 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Polish: N/A; English: N/A; Deep Learning: Master; Python: Master; GenAI: Advanced; Azure: Advanced; GCP: Advanced; Databricks: Regular
85,https://justjoin.it/job-offer/in4ge-sp-z-o-o--data-engineer-warszawa-data,Data Engineer,Data,in4ge sp. z o.o.,Warszawa,N/A,18 000 - 28 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,ETL tools: Regular; Big Data: Regular; Bazy Danych: Regular; Cloud: Nice To Have; DevOps: Nice To Have; Programming: Nice To Have
86,https://justjoin.it/job-offer/aplikacje-krytyczne-administrator-baz-danych-warszawa-data-9d482a27,Administrator Baz Danych,Data,Aplikacje Krytyczne,Warszawa,N/A,N/A,N/A,N/A,14 000 - 17 000 PLN/month,Full-time,Mid,Permanent,Remote,Bazy Danych: Regular; PostgreSQL: Regular; Linux: Regular; MongoDB: Regular; Oracle: Regular; Kubernetes: Nice To Have; Kafka: Nice To Have
87,https://justjoin.it/job-offer/link-group-data-engineer-with-python-warszawa-data,Data Engineer with Python,Data,Link Group,Warszawa,N/A,120 - 145 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,English: N/A; Python: Advanced; database development: Regular; Data Warehousing: Regular; Agile: Regular; Data Engineering: Regular; Data pipelining: Regular
88,https://justjoin.it/job-offer/1dea-mid-devops-data-engineer-azure-data-factory--warszawa-data,Mid DevOps Data Engineer (+ Azure Data Factory),Data,1dea,Warszawa,N/A,110 - 120 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,Polish: N/A; English: N/A; Azure: Advanced; DevOps: Regular; ETL: Regular; Azure Data Factory: Regular; Python: Regular; ETL tools: Regular; Data Integration: Regular; Ansible: Regular
89,https://justjoin.it/job-offer/trans-eu-group-sa-business-intelligence-developer-wroclaw-data,Business Intelligence Developer,Data,Trans.eu Group SA,Wrocław,N/A,14 760 - 18 720 PLN/month,N/A,N/A,12 300 - 15 600 PLN/month,Full-time,Mid,"B2B, Permanent",Hybrid,Polish: N/A; English: N/A; MS Excel: Advanced; Qlik Sense: Advanced; Power BI: Advanced; VBA: Regular; ETL: Regular; SQL: Regular
90,https://justjoin.it/job-offer/optiveum-data-engineer-warszawa-data,Data Engineer,Data,Optiveum,Warszawa,N/A,120 - 150 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,English: N/A; MS SQL: Regular; Matillion: Regular; Python: Regular; Azure DevOps: Regular
91,https://justjoin.it/job-offer/connectis-pl-sql-developer-warszawa-data-66717c59,PL/SQL Developer,Data,Connectis,Warszawa,N/A,23 000 - 25 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,Polish: N/A; Oracle: Advanced; PL/SQL: Advanced; SQL: Advanced
92,https://justjoin.it/job-offer/experis-manpower-group-data-engineer---microsoft-dynamics-fo-warszawa-data,Data Engineer - Microsoft Dynamics FO,Data,Experis Manpower Group,Warszawa,N/A,140 - 150 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,English: N/A; ETL: Regular; Azure Data Factory: Regular; Synapse: Regular; Dynamics 365 FO: Regular; Databricks: Regular
93,https://justjoin.it/job-offer/allegro-data-engineer---delivery-experience-warszawa-data,Data Engineer - Delivery Experience,Data,Allegro,Warszawa,N/A,N/A,N/A,N/A,14 200 - 19 690 PLN/month,Full-time,Mid,Permanent,Hybrid,English: N/A; GCP: Regular; SQL: Regular; DWH: Regular; ETL: Regular; ELT: Regular; Python: Regular; PySpark: Regular; Airflow: Regular; CI/CD: Regular
94,https://justjoin.it/job-offer/avenga-data-analyst-wroclaw-data,Data Analyst,Data,Avenga,Wrocław,N/A,19 000 - 22 000 PLN/month,N/A,N/A,N/A,Full-time,Mid,B2B,Hybrid,SQL: Regular; Python: Regular; Azure: Junior; ETL tools: Junior; Azure Data Analytics Stack: Nice To Have
95,https://justjoin.it/job-offer/emagine-polska-data-analyst-warszawa-data-abeae6e5,Data Analyst,Data,emagine Polska,Warszawa,N/A,50 - 60 PLN/h,N/A,N/A,N/A,Full-time,Mid,B2B,Remote,English: N/A; Data Cleansing: Regular; Data analysis: Regular; UAT Methodologies: Regular; Reporting to stakeholders: Regular; IT Integration: Junior
96,https://justjoin.it/job-offer/link-group-junior-data-steward-warszawa-data,Junior Data Steward,Data,Link Group,Warszawa,N/A,75 - 80 PLN/h,N/A,N/A,N/A,Full-time,Junior,B2B,Remote,Analytical Thinking: Advanced; Data: Regular; data catalog: Junior; data governance: Nice To Have
